Gene ID	Species	GeneName	Symbol
NM_001135051	57700	Homo sapiens	family with sequence similarity 160 member B1(FAM160B1)	FAM160B1
NM_001135054	59307	Homo sapiens	single Ig and TIR domain containing(SIGIRR)	SIGIRR
NM_001135053	59307	Homo sapiens	single Ig and TIR domain containing(SIGIRR)	SIGIRR
NM_001135056	7086	Homo sapiens	transketolase(TKT)	TKT
NM_001135055	7086	Homo sapiens	transketolase(TKT)	TKT
NM_001129742	119395	Homo sapiens	calcium homeostasis modulator 3(CALHM3)	calhm3
NM_001024736	80381	Homo sapiens	CD276 molecule(CD276)	CD276
NM_001135057	131578	Homo sapiens	leucine rich repeat containing 15(LRRC15)	LRRC15
NM_001135058	1690	Homo sapiens	cochlin(COCH)	COCH
NM_001024732	51102	Homo sapiens	mitochondrial trans-2-enoyl-CoA reductase(MECR)	MECR
NM_001135086	360226	Homo sapiens	protease, serine 41(PRSS41)	PRSS41
NM_001129765	50814	Homo sapiens	NAD(P) dependent steroid dehydrogenase-like(NSDHL)	NSDHL
NM_001135022	84173	Homo sapiens	ELMO domain containing 3(ELMOD3)	ELMOD3
NM_001135023	84173	Homo sapiens	ELMO domain containing 3(ELMOD3)	ELMOD3
NM_001135021	84173	Homo sapiens	ELMO domain containing 3(ELMOD3)	ELMOD3
NM_001135024	8050	Homo sapiens	pyruvate dehydrogenase complex component X(PDHX)	PDHX
NM_001135044	5601	Homo sapiens	mitogen-activated protein kinase 9(MAPK9)	MAPK9
NM_001135040	1639	Homo sapiens	dynactin subunit 1(DCTN1)	DCTN1
NM_001135041	1639	Homo sapiens	dynactin subunit 1(DCTN1)	DCTN1
NM_001135049	122953	Homo sapiens	Jun dimerization protein 2(JDP2)	JDP2
NM_001135048	122953	Homo sapiens	Jun dimerization protein 2(JDP2)	JDP2
NM_001135047	122953	Homo sapiens	Jun dimerization protein 2(JDP2)	JDP2
NM_001135031	8328	Homo sapiens	growth factor independent 1B transcriptional repressor(GFI1B)	GFI1B
NM_001135032	84141	Homo sapiens	eva-1 homolog A, regulator of programmed cell death(EVA1A)	EVA1A
NM_001135036	201158	Homo sapiens	trans-golgi network vesicle protein 23 homolog C(TVP23C)	TVP23C
NM_001135037	4238	Homo sapiens	microfibrillar associated protein 3(MFAP3)	MFAP3
NM_001129729	25894	Homo sapiens	pleckstrin homology and RhoGEF domain containing G4(PLEKHG4)	PLEKHG4
NM_001129728	25894	Homo sapiens	pleckstrin homology and RhoGEF domain containing G4(PLEKHG4)	PLEKHG4
NM_001129727	25894	Homo sapiens	pleckstrin homology and RhoGEF domain containing G4(PLEKHG4)	PLEKHG4
NM_001005567	282763	Homo sapiens	olfactory receptor family 51 subfamily B member 5(OR51B5)	OR51B5
NM_001005566	390190	Homo sapiens	olfactory receptor family 5 subfamily B member 2(OR5B2)	OR5B2
NM_001111284	3479	Homo sapiens	insulin like growth factor 1(IGF1)	IGF1
NM_001111285	3479	Homo sapiens	insulin like growth factor 1(IGF1)	IGF1
NM_001111283	3479	Homo sapiens	insulin like growth factor 1(IGF1)	IGF1
NM_001111270	115557	Homo sapiens	Rho guanine nucleotide exchange factor 25(ARHGEF25)	ARHGEF25
NM_001122740	2099	Homo sapiens	estrogen receptor 1(ESR1)	ESR1
NM_001122741	2099	Homo sapiens	estrogen receptor 1(ESR1)	ESR1
NM_001122742	2099	Homo sapiens	estrogen receptor 1(ESR1)	ESR1
NM_001129778	400581	Homo sapiens	GRB2 related adaptor protein like(GRAPL)	GRAPL
NM_001113482	149175	Homo sapiens	mannosidase endo-alpha like(MANEAL)	MANEAL
NM_001030313	375298	Homo sapiens	ceramide kinase like(CERKL)	CERKL
NM_001030312	375298	Homo sapiens	ceramide kinase like(CERKL)	CERKL
NM_001122752	5274	Homo sapiens	serpin family I member 1(SERPINI1)	SERPINI1
NM_001113475	122945	Homo sapiens	NADP dependent oxidoreductase domain containing 1(NOXRED1)	NOXRED1
NM_001030311	375298	Homo sapiens	ceramide kinase like(CERKL)	CERKL
NM_001135091	143662	Homo sapiens	mucin 15, cell surface associated(MUC15)	MUC15
NM_001135092	143662	Homo sapiens	mucin 15, cell surface associated(MUC15)	MUC15
NM_001135095	64778	Homo sapiens	fibronectin type III domain containing 3B(FNDC3B)	FNDC3B
NM_001135099	7113	Homo sapiens	transmembrane protease, serine 2(TMPRSS2)	TMPRSS2
NM_001135098	151531	Homo sapiens	uridine phosphorylase 2(UPP2)	UPP2
NM_001122764	5498	Homo sapiens	protoporphyrinogen oxidase(PPOX)	PPOX
NM_001122769	167691	Homo sapiens	LCA5, lebercilin(LCA5)	LCA5
NM_001113498	161357	Homo sapiens	MAM domain containing glycosylphosphatidylinositol anchor 2(MDGA2)	MDGA2
NM_001122770	84614	Homo sapiens	zinc finger and BTB domain containing 37(ZBTB37)	ZBTB37
NM_001122772	116986	Homo sapiens	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2(AGAP2)	AGAP2
NM_001122779	79843	Homo sapiens	family with sequence similarity 124 member B(FAM124B)	FAM124B
NM_001081754	2006	Homo sapiens	elastin(ELN)	ELN
NM_001081755	2006	Homo sapiens	elastin(ELN)	ELN
NM_001081752	2006	Homo sapiens	elastin(ELN)	ELN
NM_001081753	2006	Homo sapiens	elastin(ELN)	ELN
NM_001113492	10801	Homo sapiens	septin 9(SEPT9)	SEPT9
NM_001113491	10801	Homo sapiens	septin 9(SEPT9)	SEPT9
NM_001113490	154796	Homo sapiens	angiomotin(AMOT)	AMOT
NM_001113496	10801	Homo sapiens	septin 9(SEPT9)	SEPT9
NM_001113495	10801	Homo sapiens	septin 9(SEPT9)	SEPT9
NM_001113494	10801	Homo sapiens	septin 9(SEPT9)	SEPT9
NM_001113493	10801	Homo sapiens	septin 9(SEPT9)	SEPT9
NM_001122839	55974	Homo sapiens	solute carrier family 50 member 1(SLC50A1)	SLC50A1
NM_001122838	222236	Homo sapiens	N-acyl phosphatidylethanolamine phospholipase D(NAPEPLD)	NAPEPLD
NM_001122837	55974	Homo sapiens	solute carrier family 50 member 1(SLC50A1)	SLC50A1
NM_001122835	79573	Homo sapiens	tetratricopeptide repeat domain 13(TTC13)	TTC13
NM_001122834	55733	Homo sapiens	hedgehog acyltransferase(HHAT)	HHAT
NM_001122833	56164	Homo sapiens	serine/threonine kinase 31(STK31)	STK31
NM_001113434	339263	Homo sapiens	chromosome 17 open reading frame 51(C17orf51)	C17orf51
NM_001122819	57576	Homo sapiens	kinesin family member 17(KIF17)	KIF17
NM_001122827	54845	Homo sapiens	epithelial splicing regulatory protein 1(ESRP1)	ESRP1
NM_001122826	54845	Homo sapiens	epithelial splicing regulatory protein 1(ESRP1)	ESRP1
NM_001122823	9328	Homo sapiens	general transcription factor IIIC subunit 5(GTF3C5)	GTF3C5
NM_001122825	54845	Homo sapiens	epithelial splicing regulatory protein 1(ESRP1)	ESRP1
NM_001122824	6867	Homo sapiens	transforming acidic coiled-coil containing protein 1(TACC1)	TACC1
NM_001122821	6418	Homo sapiens	SET nuclear proto-oncogene(SET)	SET
NM_001017957	10956	Homo sapiens	OS9, endoplasmic reticulum lectin(OS9)	OS9
NM_001017958	10956	Homo sapiens	OS9, endoplasmic reticulum lectin(OS9)	OS9
NM_001017956	10956	Homo sapiens	OS9, endoplasmic reticulum lectin(OS9)	OS9
NM_013936	26529	Homo sapiens	olfactory receptor family 12 subfamily D member 2 (gene/pseudogene)(OR12D2)	OR12D2
NM_013937	26531	Homo sapiens	olfactory receptor family 11 subfamily A member 1(OR11A1)	OR11A1
NM_001017926	11244	Homo sapiens	zinc fingers and homeoboxes 1(ZHX1)	ZHX1
NM_001017927	130355	Homo sapiens	chromosome 2 open reading frame 76(C2orf76)	c2orf76
NM_001017928	131076	Homo sapiens	coiled-coil domain containing 58(CCDC58)	CCDC58
NM_001017922	114625	Homo sapiens	erythroblast membrane associated protein (Scianna blood group)(ERMAP)	ERMAP
NM_001017923	122525	Homo sapiens	chromosome 14 open reading frame 28(C14orf28)	c14orf28
NM_001017924	340745	Homo sapiens	leucine rich repeat, Ig-like and transmembrane domains 2(LRIT2)	LRIT2
NM_001122853	91977	Homo sapiens	myozenin 3(MYOZ3)	MYOZ3
NM_001017920	92196	Homo sapiens	death associated protein like 1(DAPL1)	DAPL1
NM_001017921	400673	Homo sapiens	vimentin-type intermediate filament associated coiled-coil protein(VMAC)	VMAC
NM_001083964	11022	Homo sapiens	tudor and KH domain containing(TDRKH)	TDRKH
NM_001083963	11022	Homo sapiens	tudor and KH domain containing(TDRKH)	TDRKH
NM_001083965	11022	Homo sapiens	tudor and KH domain containing(TDRKH)	TDRKH
NM_001083962	6925	Homo sapiens	transcription factor 4(TCF4)	TCF4
NM_001083961	284403	Homo sapiens	WD repeat domain 62(WDR62)	WDR62
NM_013945	5081	Homo sapiens	paired box 7(PAX7)	PAX7
NM_001122847	6539	Homo sapiens	solute carrier family 6 member 12(SLC6A12)	SLC6A12
NM_001083956	79027	Homo sapiens	zinc finger protein 655(ZNF655)	ZNF655
NM_001122848	6539	Homo sapiens	solute carrier family 6 member 12(SLC6A12)	SLC6A12
NM_013940	26539	Homo sapiens	olfactory receptor family 10 subfamily H member 1(OR10H1)	OR10H1
NM_001017931	139793	Homo sapiens	PAGE family member 3(PAGE3)	PAGE3
NM_001122841	79981	Homo sapiens	FERM domain containing 1(FRMD1)	FRMD1
NM_013943	25932	Homo sapiens	chloride intracellular channel 4(CLIC4)	CLIC4
NM_001017930	139425	Homo sapiens	DDB1 and CUL4 associated factor 8 like 1(DCAF8L1)	DCAF8L1
NM_001122842	135112	Homo sapiens	nuclear receptor coactivator 7(NCOA7)	NCOA7
NM_173341	51533	Homo sapiens	PHD finger protein 7(PHF7)	PHF7
NM_173344	6482	Homo sapiens	ST3 beta-galactoside alpha-2,3-sialyltransferase 1(ST3GAL1)	ST3GAL1
NM_001083953	63892	Homo sapiens	THADA, armadillo repeat containing(THADA)	THADA
NM_173343	7850	Homo sapiens	interleukin 1 receptor type 2(IL1R2)	IL1R2
NM_173348	317662	Homo sapiens	family with sequence similarity 149 member B1(FAM149B1)	FAM149B1
NM_001017980	203547	Homo sapiens	VMA21 vacuolar H+-ATPase homolog (S. cerevisiae)(VMA21)	VMA21
NM_001017981	200312	Homo sapiens	ring finger protein 215(RNF215)	RNF215
NM_013955	27035	Homo sapiens	NADPH oxidase 1(NOX1)	NOX1
NM_013953	7849	Homo sapiens	paired box 8(PAX8)	PAX8
NM_001017987	51149	Homo sapiens	MRN complex interacting protein(MRNIP)	MRNIP
NM_013952	7849	Homo sapiens	paired box 8(PAX8)	PAX8
NM_001017986	2210	Homo sapiens	Fc fragment of IgG receptor Ib(FCGR1B)	FCGR1B
NM_013951	7849	Homo sapiens	paired box 8(PAX8)	PAX8
NM_001017989	80207	Homo sapiens	optic atrophy 3 (autosomal recessive, with chorea and spastic paraplegia)(OPA3)	OPA3
NM_001005512	403253	Homo sapiens	olfactory receptor family 4 subfamily A member 47(OR4A47)	OR4A47
NM_001005513	403257	Homo sapiens	olfactory receptor family 4 subfamily C member 45(OR4C45)	OR4C45
NM_001111298	285755	Homo sapiens	peptidylprolyl isomerase like 6(PPIL6)	PPIL6
NM_001083947	56649	Homo sapiens	transmembrane protease, serine 4(TMPRSS4)	TMPRSS4
NM_001083946	55471	Homo sapiens	NADH:ubiquinone oxidoreductase complex assembly factor 7(NDUFAF7)	NDUFAF7
NM_013959	3084	Homo sapiens	neuregulin 1(NRG1)	NRG1
NM_013958	3084	Homo sapiens	neuregulin 1(NRG1)	NRG1
NM_013957	3084	Homo sapiens	neuregulin 1(NRG1)	NRG1
NM_013956	3084	Homo sapiens	neuregulin 1(NRG1)	NRG1
NM_173351	150681	Homo sapiens	olfactory receptor family 6 subfamily B member 3(OR6B3)	OR6B3
NM_173352	196374	Homo sapiens	keratin 78(KRT78)	KRT78
NM_173353	121278	Homo sapiens	tryptophan hydroxylase 2(TPH2)	TPH2
NM_173354	150094	Homo sapiens	salt inducible kinase 1(SIK1)	SIK1
NM_173355	151531	Homo sapiens	uridine phosphorylase 2(UPP2)	UPP2
NM_173357	280657	Homo sapiens	SSX family member 6, pseudogene(SSX6)	SSX6
NM_173358	280658	Homo sapiens	SSX family member 7(SSX7)	SSX7
NM_173359	317649	Homo sapiens	eukaryotic translation initiation factor 4E family member 3(EIF4E3)	EIF4E3
NM_001017991	474381	Homo sapiens	H2A histone family member B2(H2AFB2)	H2AFB2
NM_001017992	345651	Homo sapiens	actin, beta like 2(ACTBL2)	ACTBL2
NM_001017998	2790	Homo sapiens	G protein subunit gamma 10(GNG10)	GNG10
NM_013964	3084	Homo sapiens	neuregulin 1(NRG1)	NRG1
NM_001005504	441308	Homo sapiens	olfactory receptor family 4 subfamily F member 21(OR4F21)	OR4F21
NM_001017995	285590	Homo sapiens	SH3 and PX domains 2B(SH3PXD2B)	SH3PXD2B
NM_013960	3084	Homo sapiens	neuregulin 1(NRG1)	NRG1
NM_001005501	390431	Homo sapiens	olfactory receptor family 4 subfamily K member 2(OR4K2)	OR4K2
NM_013962	3084	Homo sapiens	neuregulin 1(NRG1)	NRG1
NM_001113402	196394	Homo sapiens	antagonist of mitotic exit network 1 homolog(AMN1)	AMN1
NM_001005502	1368	Homo sapiens	carboxypeptidase M(CPM)	CPM
NM_001017999	23254	Homo sapiens	kazrin, periplakin interacting protein(KAZN)	KAZN
NM_001113407	8861	Homo sapiens	LIM domain binding 1(LDB1)	LDB1
NM_001159846	84954	Homo sapiens	MPN domain containing(MPND)	MPND
NM_173362	317671	Homo sapiens	Rieske Fe-S domain containing(RFESD)	RFESD
NM_001017961	149297	Homo sapiens	family with sequence similarity 78 member B(FAM78B)	FAM78B
NM_013980	662	Homo sapiens	BCL2 interacting protein 1(BNIP1)	BNIP1
NM_001017967	91862	Homo sapiens	MARVEL domain containing 3(MARVELD3)	MARVELD3
NM_001017969	158358	Homo sapiens	KIAA2026(KIAA2026)	KIAA2026
NM_001017963	3320	Homo sapiens	heat shock protein 90 alpha family class A member 1(HSP90AA1)	HSP90AA1
NM_013976	2639	Homo sapiens	glutaryl-CoA dehydrogenase(GCDH)	GCDH
NM_001017962	5033	Homo sapiens	prolyl 4-hydroxylase subunit alpha 1(P4HA1)	P4HA1
NM_013975	3980	Homo sapiens	DNA ligase 3(LIG3)	LIG3
NM_001113411	55277	Homo sapiens	FGGY carbohydrate kinase domain containing(FGGY)	FGGY
NM_001017964	150223	Homo sapiens	YdjC homolog (bacterial)(YDJC)	YDJC
NM_013974	23564	Homo sapiens	dimethylarginine dimethylaminohydrolase 2(DDAH2)	DDAH2
NM_013979	662	Homo sapiens	BCL2 interacting protein 1(BNIP1)	BNIP1
NM_013978	662	Homo sapiens	BCL2 interacting protein 1(BNIP1)	BNIP1
NM_001083926	80150	Homo sapiens	asparaginase like 1(ASRGL1)	ASRGL1
NM_001083924	79098	Homo sapiens	chromosome 1 open reading frame 116(C1orf116)	c1orf116
NM_001017971	92270	Homo sapiens	ATPase H+ transporting accessory protein 1 like(ATP6AP1L)	ATP6AP1L
NM_001017970	161291	Homo sapiens	transmembrane protein 30B(TMEM30B)	TMEM30B
NM_013982	9542	Homo sapiens	neuregulin 2(NRG2)	NRG2
NM_001005522	343172	Homo sapiens	olfactory receptor family 2 subfamily T member 8(OR2T8)	OR2T8
NM_001017979	9364	Homo sapiens	RAB28, member RAS oncogene family(RAB28)	RAB28
NM_013981	9542	Homo sapiens	neuregulin 2(NRG2)	NRG2
NM_001017978	203413	Homo sapiens	cancer/testis antigen 83(CT83)	CT83
NM_013983	9542	Homo sapiens	neuregulin 2(NRG2)	NRG2
NM_001017977	55827	Homo sapiens	DDB1 and CUL4 associated factor 6(DCAF6)	DCAF6
NM_013986	2130	Homo sapiens	EWS RNA binding protein 1(EWSR1)	EWSR1
NM_001017975	164045	Homo sapiens	HFM1, ATP dependent DNA helicase homolog(HFM1)	HFM1
NM_001005526	23451	Homo sapiens	splicing factor 3b subunit 1(SF3B1)	SF3B1
NM_001005527	151647	Homo sapiens	family with sequence similarity 19 member A4, C-C motif chemokine like(FAM19A4)	FAM19A4
NM_001017974	8974	Homo sapiens	prolyl 4-hydroxylase subunit alpha 2(P4HA2)	P4HA2
NM_013988	5071	Homo sapiens	parkin RBR E3 ubiquitin protein ligase(PARK2)	PARK2
NM_001017973	8974	Homo sapiens	prolyl 4-hydroxylase subunit alpha 2(P4HA2)	P4HA2
NM_013987	5071	Homo sapiens	parkin RBR E3 ubiquitin protein ligase(PARK2)	PARK2
NM_013989	1734	Homo sapiens	deiodinase, iodothyronine type II(DIO2)	DIO2
NM_001083913	54838	Homo sapiens	WW domain binding protein 1-like(WBP1L)	WBP1L
NM_001083914	1488	Homo sapiens	C-terminal binding protein 2(CTBP2)	CTBP2
NM_001024808	605	Homo sapiens	BCL tumor suppressor 7A(BCL7A)	BCL7A
NM_001024807	333	Homo sapiens	amyloid beta precursor like protein 1(APLP1)	APLP1
NM_001135004	25822	Homo sapiens	DnaJ heat shock protein family (Hsp40) member B5(DNAJB5)	DNAJB5
NM_001135005	25822	Homo sapiens	DnaJ heat shock protein family (Hsp40) member B5(DNAJB5)	DNAJB5
NM_001135000	10979	Homo sapiens	fermitin family member 2(FERMT2)	FERMT2
NM_001159860	147949	Homo sapiens	zinc finger protein 583(ZNF583)	ZNF583
NM_001159861	147949	Homo sapiens	zinc finger protein 583(ZNF583)	ZNF583
NM_001024809	5914	Homo sapiens	retinoic acid receptor alpha(RARA)	RARA
NM_001017916	1534	Homo sapiens	cytochrome b561(CYB561)	CYB561
NM_001017915	3635	Homo sapiens	inositol polyphosphate-5-phosphatase D(INPP5D)	INPP5D
NM_001017917	1534	Homo sapiens	cytochrome b561(CYB561)	CYB561
NM_001017919	91433	Homo sapiens	RCC1 domain containing 1(RCCD1)	RCCD1
NM_001024843	23112	Homo sapiens	trinucleotide repeat containing 6B(TNRC6B)	TNRC6B
NM_001024844	3732	Homo sapiens	CD82 molecule(CD82)	CD82
NM_001024845	6536	Homo sapiens	solute carrier family 6 member 9(SLC6A9)	SLC6A9
NM_001024847	7048	Homo sapiens	transforming growth factor beta receptor 2(TGFBR2)	TGFBR2
NM_021574	613	Homo sapiens	BCR, RhoGEF and GTPase activating protein(BCR)	BCR
NM_021572	59084	Homo sapiens	ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)(ENPP5)	ENPP5
NM_021571	59082	Homo sapiens	caspase recruitment domain family member 18(CARD18)	CARD18
NM_130446	89857	Homo sapiens	kelch like family member 6(KLHL6)	KLHL6
NM_021575	1175	Homo sapiens	adaptor related protein complex 2 sigma 1 subunit(AP2S1)	AP2S1
NM_130442	9844	Homo sapiens	engulfment and cell motility 1(ELMO1)	ELMO1
NM_130443	10072	Homo sapiens	dipeptidyl peptidase 3(DPP3)	DPP3
NM_130444	80781	Homo sapiens	collagen type XVIII alpha 1 chain(COL18A1)	COL18A1
NM_130445	80781	Homo sapiens	collagen type XVIII alpha 1 chain(COL18A1)	COL18A1
NM_130440	5792	Homo sapiens	protein tyrosine phosphatase, receptor type F(PTPRF)	PTPRF
NM_130441	170482	Homo sapiens	C-type lectin domain family 4 member C(CLEC4C)	CLEC4C
NM_130439	4601	Homo sapiens	MAX interactor 1, dimerization protein(MXI1)	MXI1
NM_130437	1859	Homo sapiens	dual specificity tyrosine phosphorylation regulated kinase 1A(DYRK1A)	DYRK1A
NM_130438	1859	Homo sapiens	dual specificity tyrosine phosphorylation regulated kinase 1A(DYRK1A)	DYRK1A
NM_130435	5791	Homo sapiens	protein tyrosine phosphatase, receptor type E(PTPRE)	PTPRE
NM_130436	1859	Homo sapiens	dual specificity tyrosine phosphorylation regulated kinase 1A(DYRK1A)	DYRK1A
NM_130434	54878	Homo sapiens	dipeptidyl peptidase 8(DPP8)	DPP8
NM_130470	8567	Homo sapiens	MAP kinase activating death domain(MADD)	MADD
NM_130468	113189	Homo sapiens	carbohydrate sulfotransferase 14(CHST14)	CHST14
NM_130469	122953	Homo sapiens	Jun dimerization protein 2(JDP2)	JDP2
NM_021599	9509	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif 2(ADAMTS2)	ADAMTS2
NR_003920	389705	Homo sapiens	chromosome 4 open reading frame 27 pseudogene(LOC389705)	LOC389705
NM_130463	534	Homo sapiens	ATPase H+ transporting V1 subunit G2(ATP6V1G2)	ATP6V1G2
NM_130464	23117	Homo sapiens	nuclear pore complex interacting protein family member B3(NPIPB3)	NPIPB3
NM_130465	26262	Homo sapiens	tetraspanin 17(TSPAN17)	TSPAN17
NM_130466	89910	Homo sapiens	ubiquitin protein ligase E3B(UBE3B)	UBE3B
NM_130467	90737	Homo sapiens	PAGE family member 5(PAGE5)	PAGE5
NM_006590	10713	Homo sapiens	ubiquitin specific peptidase 39(USP39)	USP39
NM_006591	10714	Homo sapiens	DNA polymerase delta 3, accessory subunit(POLD3)	POLD3
NM_006598	10723	Homo sapiens	solute carrier family 12 member 7(SLC12A7)	SLC12A7
NM_006599	10725	Homo sapiens	nuclear factor of activated T-cells 5(NFAT5)	NFAT5
NM_006597	3312	Homo sapiens	heat shock protein family A (Hsp70) member 8(HSPA8)	HSPA8
NM_006594	10717	Homo sapiens	adaptor related protein complex 4 beta 1 subunit(AP4B1)	AP4B1
NM_006595	8539	Homo sapiens	apoptosis inhibitor 5(API5)	API5
NM_006593	10716	Homo sapiens	T-box, brain 1(TBR1)	TBR1
NM_130459	27433	Homo sapiens	torsin family 2 member A(TOR2A)	TOR2A
NM_006589	10712	Homo sapiens	family with sequence similarity 189 member B(FAM189B)	FAM189B
NM_006582	10691	Homo sapiens	glucocorticoid modulatory element binding protein 1(GMEB1)	GMEB1
NM_006581	10690	Homo sapiens	fucosyltransferase 9(FUT9)	FUT9
NM_006584	10693	Homo sapiens	chaperonin containing TCP1 subunit 6B(CCT6B)	CCT6B
NM_006583	10692	Homo sapiens	retinal pigment epithelium-derived rhodopsin homolog(RRH)	RRH
NM_006586	10695	Homo sapiens	canopy FGF signaling regulator 3(CNPY3)	CNPY3
NM_006585	10694	Homo sapiens	chaperonin containing TCP1 subunit 8(CCT8)	CCT8
NM_006588	27233	Homo sapiens	sulfotransferase family 1C member 4(SULT1C4)	SULT1C4
NM_006587	10699	Homo sapiens	corin, serine peptidase(CORIN)	CORIN
NM_006580	10686	Homo sapiens	claudin 16(CLDN16)	CLDN16
NM_006578	10681	Homo sapiens	G protein subunit beta 5(GNB5)	GNB5
NM_006579	10682	Homo sapiens	emopamil binding protein (sterol isomerase)(EBP)	EBP
NM_006573	10673	Homo sapiens	tumor necrosis factor superfamily member 13b(TNFSF13B)	TNFSF13B
NM_006572	10672	Homo sapiens	G protein subunit alpha 13(GNA13)	GNA13
NM_006571	10671	Homo sapiens	dynactin subunit 6(DCTN6)	DCTN6
NM_006570	10670	Homo sapiens	Ras related GTP binding A(RRAGA)	RRAGA
NM_006577	10678	Homo sapiens	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2(B3GNT2)	B3GNT2
NM_006576	10677	Homo sapiens	advillin(AVIL)	AVIL
NM_006575	11183	Homo sapiens	mitogen-activated protein kinase kinase kinase kinase 5(MAP4K5)	MAP4K5
NM_006574	10675	Homo sapiens	chondroitin sulfate proteoglycan 5(CSPG5)	CSPG5
NM_130476	8567	Homo sapiens	MAP kinase activating death domain(MADD)	MADD
NM_130475	8567	Homo sapiens	MAP kinase activating death domain(MADD)	MADD
NM_130474	8567	Homo sapiens	MAP kinase activating death domain(MADD)	MADD
NM_130473	8567	Homo sapiens	MAP kinase activating death domain(MADD)	MADD
NM_130472	8567	Homo sapiens	MAP kinase activating death domain(MADD)	MADD
NM_130471	8567	Homo sapiens	MAP kinase activating death domain(MADD)	MADD
NM_006569	10669	Homo sapiens	cell growth regulator with EF-hand domain 1(CGREF1)	CGREF1
NM_006567	10667	Homo sapiens	phenylalanyl-tRNA synthetase 2, mitochondrial(FARS2)	FARS2
NM_006568	10668	Homo sapiens	cell growth regulator with ring finger domain 1(CGRRF1)	CGRRF1
NM_006564	10663	Homo sapiens	C-X-C motif chemokine receptor 6(CXCR6)	Cxcr6
NM_006563	10661	Homo sapiens	Kruppel like factor 1(KLF1)	KLF1
NM_006566	10666	Homo sapiens	CD226 molecule(CD226)	CD226
NM_006565	10664	Homo sapiens	CCCTC-binding factor(CTCF)	CTCF
NM_006560	10658	Homo sapiens	CUGBP, Elav-like family member 1(CELF1)	CELF1
NM_006561	10659	Homo sapiens	CUGBP, Elav-like family member 2(CELF2)	CELF2
NM_006556	10654	Homo sapiens	phosphomevalonate kinase(PMVK)	pmvk
NM_006557	10655	Homo sapiens	doublesex and mab-3 related transcription factor 2(DMRT2)	DMRT2
NM_006558	10656	Homo sapiens	KH RNA binding domain containing, signal transduction associated 3(KHDRBS3)	KHDRBS3
NM_006559	10657	Homo sapiens	KH RNA binding domain containing, signal transduction associated 1(KHDRBS1)	KHDRBS1
NM_006555	10652	Homo sapiens	YKT6 v-SNARE homolog (S. cerevisiae)(YKT6)	YKT6
NM_006554	10651	Homo sapiens	metaxin 2(MTX2)	MTX2
NM_006553	10650	Homo sapiens	PRELI domain containing 3A(PRELID3A)	PRELID3A
NM_021570	56033	Homo sapiens	BARX homeobox 1(BARX1)	BARX1
NM_006552	10648	Homo sapiens	secretoglobin family 1D member 1(SCGB1D1)	SCGB1D1
NM_006551	10647	Homo sapiens	secretoglobin family 1D member 2(SCGB1D2)	SCGB1D2
NM_021569	2902	Homo sapiens	glutamate ionotropic receptor NMDA type subunit 1(GRIN1)	GRIN1
NM_006549	10645	Homo sapiens	calcium/calmodulin dependent protein kinase kinase 2(CAMKK2)	CAMKK2
NM_006547	10643	Homo sapiens	insulin like growth factor 2 mRNA binding protein 3(IGF2BP3)	IGF2BP3
NM_006548	10644	Homo sapiens	insulin like growth factor 2 mRNA binding protein 2(IGF2BP2)	IGF2BP2
NM_006545	10641	Homo sapiens	NPR2-like, GATOR1 complex subunit(NPRL2)	NPRL2
NM_006546	10642	Homo sapiens	insulin like growth factor 2 mRNA binding protein 1(IGF2BP1)	IGF2BP1
NM_018843	55972	Homo sapiens	solute carrier family 25 member 40(SLC25A40)	SLC25A40
NM_018844	55973	Homo sapiens	B-cell receptor associated protein 29(BCAP29)	BCAP29
NM_018845	55974	Homo sapiens	solute carrier family 50 member 1(SLC50A1)	SLC50A1
NM_018846	55975	Homo sapiens	kelch like family member 7(KLHL7)	KLHL7
NM_018847	55958	Homo sapiens	kelch like family member 9(KLHL9)	KLHL9
NM_018848	8195	Homo sapiens	McKusick-Kaufman syndrome(MKKS)	MKKS
NM_018849	5244	Homo sapiens	ATP binding cassette subfamily B member 4(ABCB4)	ABCB4
NM_181887	7323	Homo sapiens	ubiquitin conjugating enzyme E2 D3(UBE2D3)	UBE2D3
NM_181886	7323	Homo sapiens	ubiquitin conjugating enzyme E2 D3(UBE2D3)	UBE2D3
NM_181889	7323	Homo sapiens	ubiquitin conjugating enzyme E2 D3(UBE2D3)	UBE2D3
NM_181888	7323	Homo sapiens	ubiquitin conjugating enzyme E2 D3(UBE2D3)	UBE2D3
NM_181882	57716	Homo sapiens	periaxin(PRX)	PRX
NM_018850	5244	Homo sapiens	ATP binding cassette subfamily B member 4(ABCB4)	ABCB4
NM_181885	339403	Homo sapiens	relaxin/insulin like family peptide receptor 4(RXFP4)	RXFP4
NM_001098845	728113	Homo sapiens	annexin A8-like 1(ANXA8L1)	ANXA8L1
NM_001098844	653567	Homo sapiens	transmembrane protein 236(TMEM236)	TMEM236
NM_181880	353513	Homo sapiens	variable charge, Y-linked 1B(VCY1B)	VCY1B
NM_181897	5523	Homo sapiens	protein phosphatase 2 regulatory subunit B''alpha(PPP2R3A)	PPP2R3A
